iteration,attempt,temperature,prompt_type,payoff_a,payoff_b,payoff_c,payoff_d,response_raw,choice
1,1,1.0,change_order_swap,250,5,750,95,A,a
2,2,1.0,change_order_swap,250,5,750,95,B,b
3,3,1.0,change_order_swap,250,5,750,95,B,b
4,4,1.0,change_order_swap,250,5,750,95,B,b
5,5,1.0,change_order_swap,250,5,750,95,A,a
6,6,1.0,change_order_swap,250,5,750,95,B,b
7,7,1.0,change_order_swap,250,5,750,95,A,a
8,8,1.0,change_order_swap,250,5,750,95,B,b
9,9,1.0,change_order_swap,250,5,750,95,A,a
10,10,1.0,change_order_swap,250,5,750,95,A,a
11,11,1.0,change_order_swap,250,5,750,95,A,a
12,12,1.0,change_order_swap,250,5,750,95,B,b
13,13,1.0,change_order_swap,250,5,750,95,B,b
14,14,1.0,change_order_swap,250,5,750,95,B,b
15,15,1.0,change_order_swap,250,5,750,95,B,b
16,16,1.0,change_order_swap,250,5,750,95,B,b
17,17,1.0,change_order_swap,250,5,750,95,A,a
18,18,1.0,change_order_swap,250,5,750,95,B,b
19,19,1.0,change_order_swap,250,5,750,95,A,a
20,20,1.0,change_order_swap,250,5,750,95,A,a
21,21,1.0,change_order_swap,250,5,750,95,B,b
22,22,1.0,change_order_swap,250,5,750,95,B,b
23,23,1.0,change_order_swap,250,5,750,95,A,a
24,24,1.0,change_order_swap,250,5,750,95,B,b
25,25,1.0,change_order_swap,250,5,750,95,A,a
26,26,1.0,change_order_swap,250,5,750,95,A,a
27,27,1.0,change_order_swap,250,5,750,95,A,a
28,28,1.0,change_order_swap,250,5,750,95,B,b
29,29,1.0,change_order_swap,250,5,750,95,A,a
30,30,1.0,change_order_swap,250,5,750,95,A,a
31,31,1.0,change_order_swap,250,5,750,95,B,b
32,32,1.0,change_order_swap,250,5,750,95,B,b
33,33,1.0,change_order_swap,250,5,750,95,B,b
34,34,1.0,change_order_swap,250,5,750,95,A,a
35,35,1.0,change_order_swap,250,5,750,95,A,a
36,36,1.0,change_order_swap,250,5,750,95,A,a
37,37,1.0,change_order_swap,250,5,750,95,A,a
38,38,1.0,change_order_swap,250,5,750,95,A,a
39,39,1.0,change_order_swap,250,5,750,95,A,a
40,40,1.0,change_order_swap,250,5,750,95,A,a
41,41,1.0,change_order_swap,250,5,750,95,B,b
42,42,1.0,change_order_swap,250,5,750,95,B,b
43,43,1.0,change_order_swap,250,5,750,95,A,a
44,44,1.0,change_order_swap,250,5,750,95,B,b
45,45,1.0,change_order_swap,250,5,750,95,A,a
46,46,1.0,change_order_swap,250,5,750,95,A,a
47,47,1.0,change_order_swap,250,5,750,95,B,b
48,48,1.0,change_order_swap,250,5,750,95,A,a
49,49,1.0,change_order_swap,250,5,750,95,B,b
50,50,1.0,change_order_swap,250,5,750,95,B,b
