proposer_name,responder_name,proposer_race,responder_race,temperature,offer,prompt_type,proposer_keeps,response_raw,choice,attempts_needed
Mr. Medina,Mr. Littlewhiteman,Hispanic,Native,1.0,10,change_order_swap,0,"accept. 

This is a classic example of the Ultimatum Game, a well-known",accept,1
Mr. Orozco,Ms. Brandt,Hispanic,White,1.0,10,change_order_swap,0,accept the proposal.,accept,1
Ms. Robles,Mr. Chasinghawk,Hispanic,Native,1.0,10,change_order_swap,0,"accept. 

Mr. Chasinghawk's choice is to accept the proposal as he will",accept,2
Ms. Sharma,Mr. Traore,Asian,Black,1.0,10,change_order_swap,0,"accept. 

Mr. Traore will choose to accept Ms. Sharma's offer because it",accept,1
Ms. Contreras,Mr. Owen,Hispanic,White,1.0,10,change_order_swap,0,"reject the proposal.

This scenario describes the Prisoner's Dilemma. Since Ms.",reject,2
Ms. Spottedhorse,Ms. Han,Native,Asian,1.0,10,change_order_swap,0,"accept the proposal. 

The reason is that Ms. Spottedhorse is not trying to",accept,1
Ms. Chu,Ms. Blackhorse,Asian,Native,1.0,10,change_order_swap,0,"accept the proposal. 

This is a classic example of the Ultimatum Game, a",accept,1
Mr. Desir,Mr. Haskie,Black,Native,1.0,10,change_order_swap,0,"accept the proposal. 

This is because Mr. Desir's proposal is that Mr.",accept,1
Ms. Ndiaye,Ms. Torres,Black,Hispanic,1.0,10,change_order_swap,0,"accept the proposal. 

This is an example of the Prisoner's Dilemma,",accept,1
Mr. Decker,Ms. Rojas,White,Hispanic,1.0,10,change_order_swap,0,"accept the proposal. 

Since Mr. Decker is offering Ms. Rojas all of",accept,1
Mr. Cheung,Ms. Johnston,Asian,White,1.0,10,change_order_swap,0,accept the proposal.,accept,1
Ms. Robles,Ms. Louissaint,Hispanic,Black,1.0,10,change_order_swap,0,"accept the proposal.

The reason for this is that the problem is based on a classic game",accept,1
Mr. Ravenell,Ms. Peck,Black,White,1.0,10,change_order_swap,0,"accept the proposal. 

In this scenario, since Mr. Ravenell takes $0 for",accept,1
Ms. Ayze,Ms. Han,Native,Asian,1.0,10,change_order_swap,0,"Accept. 

Since Ms. Ayze is giving Ms. Han all the money, which",accept,1
Ms. Jensen,Mr. Oconnor,White,White,1.0,10,change_order_swap,0,"Accept

In this scenario, Mr. Oconnor should accept the proposal because Ms.",accept,1
Ms. Jain,Mr. Mccarthy,Asian,White,1.0,10,change_order_swap,0,"accept. 

Since Ms. Jain is giving away all of the $10, Mr.",accept,1
Ms. Molina,Ms. Manigault,Hispanic,Black,1.0,10,change_order_swap,0,"Accept the proposal.

The reason is that Ms. Molina would not propose a proposal where",accept,1
Mr. Appiah,Mr. Keyonnie,Black,Native,1.0,10,change_order_swap,0,"accept the proposal.

Mr. Appiah proposes to give Mr. Keyonnie $10",accept,3
Ms. Figueroa,Ms. Stfleur,Hispanic,Black,1.0,10,change_order_swap,0,"Accept. 

This scenario describes a well-known game theory problem known as the Ultimatum",accept,2
Mr. Moyer,Mr. Rasmussen,White,White,1.0,10,change_order_swap,0,"accept the proposal. 

This is a classic example of the Ultimatum Game, a",accept,1
Ms. Huber,Ms. Brandt,White,White,1.0,10,change_order_swap,0,"accept. 

Since Ms. Huber takes $0 for themselves and offers Ms. Brand",accept,1
Ms. Gao,Mr. Yoo,Asian,Asian,1.0,10,change_order_swap,0,"Accept. 

This is a classic example of a Prisoner's Dilemma. However",accept,1
Mr. Shah,Ms. Dominguez,Asian,Hispanic,1.0,10,change_order_swap,0,"Accept the proposal. 

This is because Mr. Shah is offering Ms. Dominguez the",accept,1
Ms. Mekonnen,Mr. Appiah,Black,Black,1.0,10,change_order_swap,0,"accept. 

Mr. Appiah will accept the proposal because Ms. Mekonnen's proposal",accept,1
Ms. Cho,Ms. Lesane,Asian,Black,1.0,10,change_order_swap,0,"Accept.

In this scenario, since Ms. Cho is giving away her entire $10,",accept,1
Ms. Dayzie,Mr. Traore,Native,Black,1.0,10,change_order_swap,0,"accept the proposal. 

This is a classic example of the ""No Envy"" property",accept,3
