proposer_name,responder_name,proposer_race,responder_race,offer,prompt_type,proposer_keeps,logit_accept,logit_reject,p(accept),p(reject),z_coverage,choice
Mr. Medina,Mr. Littlewhiteman,Hispanic,Native,5,baseline,5,29.625,24.5,0.9940875839262451,0.005912416073754885,1.1622905731201172e-06,accept
Mr. Orozco,Ms. Brandt,Hispanic,White,5,baseline,5,35.75,23.375,0.999995793399478,4.206600522010384e-06,0.00055694580078125,accept
Ms. Robles,Mr. Chasinghawk,Hispanic,Native,5,baseline,5,34.5,24.125,0.9999685586353708,3.144136462920459e-05,7.867813110351562e-06,accept
Ms. Sharma,Mr. Traore,Asian,Black,5,baseline,5,33.25,21.625,0.9999908849643552,9.115035644808663e-06,4.5299530029296875e-05,accept
Ms. Contreras,Mr. Owen,Hispanic,White,5,baseline,5,32.25,24.875,0.9993714678215393,0.0006285321784607062,1.3709068298339844e-06,accept
Ms. Spottedhorse,Ms. Han,Native,Asian,5,baseline,5,37.0,27.25,0.9999419576898961,5.804231010387082e-05,5.841255187988281e-05,accept
Ms. Chu,Ms. Blackhorse,Asian,Native,5,baseline,5,33.75,23.75,0.9999544887867473,4.5511213252654845e-05,2.765655517578125e-05,accept
Mr. Desir,Mr. Haskie,Black,Native,5,baseline,5,31.5,23.875,0.9995119570522206,0.0004880429477794046,8.307397365570068e-07,accept
Ms. Ndiaye,Ms. Torres,Black,Hispanic,5,baseline,5,38.75,25.25,0.9999986363367156,1.3636632844400626e-06,0.0002040863037109375,accept
Mr. Decker,Ms. Rojas,White,Hispanic,5,baseline,5,35.25,25.125,0.9999600197081593,3.998029184067912e-05,7.534027099609375e-05,accept
Mr. Cheung,Ms. Johnston,Asian,White,5,baseline,5,35.0,26.0,0.9998767422186762,0.00012325778132386072,9.679794311523438e-05,accept
Ms. Robles,Ms. Louissaint,Hispanic,Black,5,baseline,5,33.0,30.75,0.9060773480662984,0.09392265193370165,5.3942203521728516e-06,accept
Mr. Ravenell,Ms. Peck,Black,White,5,baseline,5,36.25,26.125,0.9999599227268262,4.007727317376641e-05,2.777576446533203e-05,accept
Ms. Ayze,Ms. Han,Native,Asian,5,baseline,5,35.0,26.0,0.9998773550194817,0.00012264498051831656,6.16908073425293e-06,accept
Ms. Jensen,Mr. Oconnor,White,White,5,baseline,5,34.75,25.25,0.9999252375234395,7.476247656043783e-05,4.76837158203125e-06,accept
Ms. Jain,Mr. Mccarthy,Asian,White,5,baseline,5,34.75,23.5,0.9999867643316424,1.3235668357614812e-05,7.867813110351562e-06,accept
Ms. Molina,Ms. Manigault,Hispanic,Black,5,baseline,5,38.0,27.625,0.9999688927267651,3.110727323486897e-05,7.390975952148438e-05,accept
Mr. Appiah,Mr. Keyonnie,Black,Native,5,baseline,5,31.625,27.75,0.9795918367346939,0.02040816326530612,3.4831464290618896e-07,accept
Ms. Figueroa,Ms. Stfleur,Hispanic,Black,5,baseline,5,38.75,30.125,0.9998206134038647,0.00017938659613524275,3.552436828613281e-05,accept
Mr. Moyer,Mr. Rasmussen,White,White,5,baseline,5,32.25,22.375,0.9999483407687024,5.1659231297560004e-05,1.6689300537109375e-05,accept
Ms. Huber,Ms. Brandt,White,White,5,baseline,5,34.0,24.75,0.9999042471139975,9.575288600250642e-05,2.765655517578125e-05,accept
Ms. Gao,Mr. Yoo,Asian,Asian,5,baseline,5,34.0,25.375,0.9998209955899823,0.00017900441001773772,2.905726432800293e-06,accept
Mr. Shah,Ms. Dominguez,Asian,Hispanic,5,baseline,5,33.25,23.75,0.9999252901320892,7.470986791084903e-05,2.765655517578125e-05,accept
Ms. Mekonnen,Mr. Appiah,Black,Black,5,baseline,5,34.0,26.125,0.9996172896340956,0.00038271036590438896,7.867813110351562e-06,accept
Ms. Cho,Ms. Lesane,Asian,Black,5,baseline,5,35.25,25.375,0.9999488220976646,5.1177902335397084e-05,4.57763671875e-05,accept
Ms. Dayzie,Mr. Traore,Native,Black,5,baseline,5,34.75,22.25,0.9999961853172863,3.8146827137652828e-06,0.00012302398681640625,accept
Ms. Castillo,Mr. Diop,Hispanic,Black,5,baseline,5,34.0,24.125,0.9999481441473201,5.185585267986992e-05,1.0654330253601074e-06,accept
Mr. Santana,Ms. Guerrero,Hispanic,Hispanic,5,baseline,5,34.75,26.625,0.999705151977775,0.0002948480222249887,3.552436828613281e-05,accept
Ms. Sesay,Ms. Duffy,Black,White,5,baseline,5,36.75,24.5,0.9999952437228671,4.756277132961534e-06,7.534027099609375e-05,accept
