proposer_name,responder_name,proposer_race,responder_race,offer,prompt_type,proposer_keeps,logit_accept,logit_reject,p(accept),p(reject),z_coverage,choice
Mr. Medina,Mr. Littlewhiteman,Hispanic,Native,0,baseline,10,23.875,24.0,0.504,0.496,0.9765625,accept
Mr. Orozco,Ms. Brandt,Hispanic,White,0,baseline,10,22.875,24.5,0.18548387096774194,0.8145161290322581,0.96875,reject
Ms. Robles,Mr. Chasinghawk,Hispanic,Native,0,baseline,10,24.0,23.875,0.6044624746450304,0.39553752535496955,0.9609375,accept
Ms. Sharma,Mr. Traore,Asian,Black,0,baseline,10,23.625,23.625,0.534446764091858,0.46555323590814196,0.9375,accept
Ms. Contreras,Mr. Owen,Hispanic,White,0,baseline,10,23.625,24.125,0.4262626262626263,0.5737373737373738,0.96875,reject
Ms. Spottedhorse,Ms. Han,Native,Asian,0,baseline,10,23.375,24.25,0.3359840954274354,0.6640159045725647,0.984375,reject
Ms. Chu,Ms. Blackhorse,Asian,Native,0,baseline,10,23.875,22.875,0.751004016064257,0.24899598393574296,0.97265625,accept
Mr. Desir,Mr. Haskie,Black,Native,0,baseline,10,24.375,23.125,0.7967806841046278,0.20321931589537223,0.96875,accept
Ms. Ndiaye,Ms. Torres,Black,Hispanic,0,baseline,10,23.25,23.875,0.3911290322580645,0.6088709677419355,0.96875,reject
Mr. Decker,Ms. Rojas,White,Hispanic,0,baseline,10,23.0,24.375,0.2210953346855984,0.7789046653144016,0.9609375,reject
Mr. Cheung,Ms. Johnston,Asian,White,0,baseline,10,23.0,24.625,0.18570009930486595,0.814299900695134,0.984375,reject
Ms. Robles,Ms. Louissaint,Hispanic,Black,0,baseline,10,23.5,24.375,0.32,0.68,0.9765625,reject
Mr. Ravenell,Ms. Peck,Black,White,0,baseline,10,23.0,24.5,0.20804020100502513,0.7919597989949749,0.97265625,reject
Ms. Ayze,Ms. Han,Native,Asian,0,baseline,10,23.125,24.25,0.2934131736526946,0.7065868263473054,0.9765625,reject
Ms. Jensen,Mr. Oconnor,White,White,0,baseline,10,22.875,24.25,0.26380368098159507,0.7361963190184049,0.953125,reject
Ms. Jain,Mr. Mccarthy,Asian,White,0,baseline,10,22.875,23.625,0.3974358974358974,0.6025641025641025,0.9140625,reject
Ms. Molina,Ms. Manigault,Hispanic,Black,0,baseline,10,23.5,24.5,0.3,0.7,0.9765625,reject
Mr. Appiah,Mr. Keyonnie,Black,Native,0,baseline,10,23.625,23.125,0.6450304259634888,0.35496957403651114,0.9609375,accept
Ms. Figueroa,Ms. Stfleur,Hispanic,Black,0,baseline,10,22.5,24.125,0.1926605504587156,0.8073394495412844,0.95703125,reject
Mr. Moyer,Mr. Rasmussen,White,White,0,baseline,10,23.625,23.5,0.5557809330628803,0.44421906693711966,0.9609375,accept
Ms. Huber,Ms. Brandt,White,White,0,baseline,10,23.375,24.5,0.2698412698412698,0.7301587301587301,0.984375,reject
Ms. Gao,Mr. Yoo,Asian,Asian,0,baseline,10,23.375,23.375,0.5660377358490566,0.4339622641509434,0.9296875,accept
Mr. Shah,Ms. Dominguez,Asian,Hispanic,0,baseline,10,23.0,23.75,0.3509127789046653,0.6490872210953347,0.9609375,reject
Ms. Mekonnen,Mr. Appiah,Black,Black,0,baseline,10,23.375,23.25,0.6096033402922756,0.3903966597077244,0.9375,accept
Ms. Cho,Ms. Lesane,Asian,Black,0,baseline,10,23.25,23.75,0.4153225806451613,0.5846774193548387,0.96875,reject
